Team,Season,Win_Series,Home_Ice,Road_Ice,Division_Leader,Non_Division_Leader
Anaheim Ducks,2018,0,1,0,0,1
Anaheim Ducks,2017,1,1,0,1,0
Anaheim Ducks,2016,0,1,0,1,0
Anaheim Ducks,2015,1,1,0,1,0
Anaheim Ducks,2014,1,1,0,1,0
Boston Bruins,2019,1,1,0,0,1
Boston Bruins,2018,1,1,0,0,1
Boston Bruins,2017,0,0,1,0,1
Boston Bruins,2014,1,1,0,1,0
Calgary Flames,2019,0,1,0,1,0
Calgary Flames,2017,0,0,1,0,1
Calgary Flames,2015,1,0,1,0,1
Carolina Hurricanes,2019,1,0,1,0,1
Chicago Blackhawks,2017,0,1,0,1,0
Chicago Blackhawks,2016,0,0,1,0,1
Chicago Blackhawks,2015,1,0,1,0,1
Chicago Blackhawks,2014,1,0,1,0,1
Colorado Avalanche,2019,1,0,1,0,1
Colorado Avalanche,2018,0,0,1,0,1
Colorado Avalanche,2014,0,1,0,1,0
Columbus Blue Jackets,2019,1,0,1,0,1
Columbus Blue Jackets,2018,0,0,1,0,1
Columbus Blue Jackets,2017,0,0,1,0,1
Columbus Blue Jackets,2014,0,0,1,0,1
Dallas Stars,2019,1,0,1,0,1
Dallas Stars,2016,1,1,0,1,0
Dallas Stars,2014,0,0,1,0,1
Detroit Red Wings,2016,0,0,1,0,1
Detroit Red Wings,2015,0,0,1,0,1
Detroit Red Wings,2014,0,0,1,0,1
Edmonton Oilers,2017,1,1,0,0,1
Florida Panthers,2016,0,1,0,1,0
Los Angeles Kings,2018,0,0,1,0,1
Los Angeles Kings,2016,0,1,0,0,1
Los Angeles Kings,2014,1,0,1,0,1
Minnesota Wild,2018,0,0,1,0,1
Minnesota Wild,2017,0,1,0,0,1
Minnesota Wild,2016,0,0,1,0,1
Minnesota Wild,2015,1,0,1,0,1
Minnesota Wild,2014,1,0,1,0,1
Montreal Canadiens,2017,0,1,0,1,0
Montreal Canadiens,2015,1,1,0,1,0
Montreal Canadiens,2014,1,0,1,0,1
Nashville Predators,2019,0,1,0,1,0
Nashville Predators,2018,1,1,0,1,0
Nashville Predators,2017,1,0,1,0,1
Nashville Predators,2016,1,0,1,0,1
Nashville Predators,2015,0,1,0,0,1
New Jersey Devils,2018,0,0,1,0,1
New York Islanders,2019,1,1,0,0,1
New York Islanders,2016,1,0,1,0,1
New York Islanders,2015,0,0,1,0,1
New York Rangers,2017,1,0,1,0,1
New York Rangers,2016,0,0,1,0,1
New York Rangers,2015,1,1,0,1,0
New York Rangers,2014,1,1,0,0,1
Ottawa Senators,2017,1,1,0,0,1
Ottawa Senators,2015,0,0,1,0,1
Philadelphia Flyers,2018,0,0,1,0,1
Philadelphia Flyers,2016,0,0,1,0,1
Philadelphia Flyers,2014,0,0,1,0,1
Pittsburgh Penguins,2019,0,0,1,0,1
Pittsburgh Penguins,2018,1,1,0,0,1
Pittsburgh Penguins,2017,1,1,0,0,1
Pittsburgh Penguins,2016,1,1,0,0,1
Pittsburgh Penguins,2015,0,0,1,0,1
Pittsburgh Penguins,2014,1,1,0,1,0
San Jose Sharks,2019,1,1,0,0,1
San Jose Sharks,2018,1,0,1,0,1
San Jose Sharks,2017,0,0,1,0,1
San Jose Sharks,2016,1,0,1,0,1
San Jose Sharks,2014,0,1,0,0,1
St Louis Blues,2019,1,0,1,0,1
St Louis Blues,2017,1,0,1,0,1
St Louis Blues,2016,1,1,0,0,1
St Louis Blues,2015,0,1,0,1,0
St Louis Blues,2014,0,1,0,0,1
Tampa Bay Lightning,2019,0,1,0,1,0
Tampa Bay Lightning,2018,1,1,0,1,0
Tampa Bay Lightning,2016,1,1,0,0,1
Tampa Bay Lightning,2015,1,1,0,0,1
Tampa Bay Lightning,2014,0,1,0,0,1
Toronto Maple Leafs,2019,0,0,1,0,1
Toronto Maple Leafs,2018,0,0,1,0,1
Toronto Maple Leafs,2017,0,0,1,0,1
Vancouver Canucks,2015,0,1,0,0,1
Vegas Golden Knights,2019,0,0,1,0,1
Vegas Golden Knights,2018,1,1,0,1,0
Washington Capitals,2019,0,1,0,1,0
Washington Capitals,2018,1,1,0,1,0
Washington Capitals,2017,1,1,0,1,0
Washington Capitals,2016,1,1,0,1,0
Washington Capitals,2015,1,1,0,0,1
Winnipeg Jets,2019,0,1,0,0,1
Winnipeg Jets,2018,1,1,0,0,1
Winnipeg Jets,2015,0,0,1,0,1